"thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS"	"progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS"	"aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE"	"androgen_HALLMARK_ANDROGEN_RESPONSE"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE"	"cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL"
"TCGA.44.6147.01B"	21801.2794766044	11998.5442007896	15906.6675687891	24684.5605418023	19140.8370307306	17603.1256130316	21361.4329857883
"TCGA.44.6147.01A"	23996.9880470675	14669.5245523023	21714.5878827637	25446.5441253608	23866.2562998299	23457.8826597881	24122.3749407338
"TCGA.44.7661.01A"	23774.3676408673	17308.401795478	22168.7746812489	25057.6023133673	23265.5203646161	23423.9476884607	25180.2530107155
"TCGA.05.4396.01A"	24712.9366893781	16284.6012759102	20964.7429771286	25122.4654992385	23381.0017172569	23045.345450568	24577.14605289
"TCGA.55.7724.01A"	24774.6049122792	16094.2138760138	20481.8072400742	25753.8232570321	23542.9606647711	23400.6418981135	26493.0480864704
"TCGA.91.7771.01A"	23991.529437084	15421.1823816934	21843.1230402121	25407.8070668933	23415.3421220903	23162.0355906373	26569.1504477143
"TCGA.05.4410.01A"	23947.9661458075	16922.6027490049	21856.2484753147	25220.3940963556	23366.0324648898	23039.7412955954	21301.732301398
"TCGA.55.7573.01A"	24561.7467301177	15783.1402733237	21931.5634716976	24910.7995817479	23279.3805814451	22713.8583887658	25034.8512109577
"TCGA.05.4405.01A"	23396.3836124431	14618.6049452397	22918.5952048045	25085.7753348428	23459.9835184721	22865.7319670089	22463.5544791821
"TCGA.91.6836.01A"	23017.2844401814	16498.1168416417	20649.7409709571	24259.6858947869	22545.8608727539	22002.2631796695	19725.2843576895
"TCGA.55.8203.01A"	22313.3557702746	15639.830476274	21760.8188132179	24352.6569637127	22610.6286638746	22615.3624483386	21907.3784107782
"TCGA.55.7576.01A"	23621.3464810906	16169.8199731508	21838.0017643677	24742.6464043074	23410.4780834713	22880.1393916104	23101.5362716104
"TCGA.55.8615.01A"	22701.27239722	16914.9535802789	20933.6947667228	24317.5541723306	22837.3226669497	22807.4314898174	21580.4956806389
"TCGA.86.7954.01A"	24349.6423125528	18734.2059330466	21294.8509792854	25002.5720394311	22387.7977084712	22481.5901918295	21287.5810345464
"TCGA.86.7955.01A"	23442.2692488413	14939.3283522045	17517.3995018862	24794.9116268392	21791.9150535308	21713.7630934744	20016.1361964646
"TCGA.86.8054.01A"	22406.6404775438	15109.6964734822	19863.1438106923	24691.1429904049	22924.1245452721	22800.9230817913	23221.2733380357
"TCGA.55.8089.01A"	24257.2722344374	17694.4572597213	21150.9635670724	24737.6337831765	22805.070302205	22677.4817306722	24332.7348477305
