cell_type	LUAD.thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS.233_TUM	LUAD.progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS.233_TUM	LUAD.aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE.233_TUM	LUAD.androgen_HALLMARK_ANDROGEN_RESPONSE.233_TUM	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY.233_TUM	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE.233_TUM	LUAD.cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL.233_TUM	LUAD.thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS.24_NAT	LUAD.progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS.24_NAT	LUAD.aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE.24_NAT	LUAD.androgen_HALLMARK_ANDROGEN_RESPONSE.24_NAT	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY.24_NAT	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE.24_NAT	LUAD.cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL.24_NAT
B cell naive	0.06969177748787943	-0.12868435911914175	0.30455811055511206	0.22865125878619133	0.2260645651200374	0.1873400961856734	0.2896785373546993	-0.0626086956521739	-0.37304347826086953	0.03739130434782608	-0.19999999999999998	-0.029565217391304344	0.03130434782608695	0.07043478260869565
B cell memory	-0.37254901960784315	0.04656862745098039	0.37500000000000006	0.12254901960784316	0.06617647058823531	-0.022058823529411766	0.10294117647058824							
B cell plasma	-0.11065423514538561	-0.16139696586599242	0.17725031605562583	0.08367994100294987	0.1681573957016435	0.0830794353139486	0.22919827222924571	0.03766233766233767	-0.2571428571428571	-0.22337662337662337	-0.15454545454545454	-0.01818181818181818	0.08571428571428572	-0.2025974025974026
T cell CD8+	0.1387075260095831	0.2743523311082878	0.3065142641877879	0.10725193113827121	0.04252636515475052	0.11290840282996563	0.14241604185366208	-0.1591304347826087	0.3904347826086956	0.07565217391304348	-0.07304347826086956	-0.09739130434782609	-0.08173913043478259	0.30347826086956514
T cell CD4+ naive														
T cell CD4+ memory resting	0.12514212642392203	0.015381546801231575	0.41242430470690317	0.44973812288835313	0.32539889052797627	0.1925265041101494	0.36347409122618024	0.04608695652173912	0.4052173913043478	-0.21478260869565213	0.06	-0.1443478260869565	-0.23826086956521736	0.5834782608695652
T cell CD4+ memory activated	0.06604512526091615	0.41754344368374774	0.1457531532218115	0.0793989508313328	-0.066112868193423	0.04474561823188123	-0.0690258142912184							
T cell follicular helper	0.10128149118974807	0.16232378321753876	0.22730379514931157	-0.034375484434673545	-0.022408480014280547	0.09023872940712242	0.04265961094904569	-0.43636363636363645	-0.02727272727272728	-0.30000000000000004	0.07272727272727274	-0.4909090909090909	-0.45454545454545453	0.5
T cell regulatory (Tregs)	-0.03138003130462601	-0.13067053594890718	0.3137146252013665	0.008832703051629783	0.20834599609263432	0.22046454236978308	-0.005863333599917741							
T cell gamma delta	-0.25874125874125875	0.35664335664335667	-0.1398601398601399	-0.2027972027972028	-0.02097902097902098	0.1188811188811189	0.06993006993006995							
NK cell resting	0.18358765288293535	0.3394059405940594	0.12574257425742574	0.1355037856726849	-0.024705882352941175	0.09266161910308678	-0.1888875946418171	0.048120300751879695	-0.14887218045112782	-0.3684210526315789	0.0781954887218045	-0.12932330827067667	-0.1819548872180451	-0.3654135338345864
NK cell activated	0.0897295448855344	0.16843692942764155	0.238065229205977	0.021859905594128027	0.16657568041230822	0.2750264104396041	0.09696447872204005	-0.12058823529411765	-0.19999999999999998	0.34705882352941175	0.3029411764705882	-0.12058823529411765	-0.3970588235294118	0.3852941176470588
Monocyte	0.09383770416379114	-0.04317057740970785	0.22524154589371984	0.24275074764205198	0.0602311939268461	-0.0006441223832528182	0.08790832758224065	-0.09913043478260869	0.3182608695652174	0.5356521739130434	0.3460869565217391	0.3913043478260869	0.15043478260869564	0.4626086956521739
Macrophage M0	0.22240764005469885	0.09777646836470365	0.3379134379134379	0.2413198883787119	0.20354430942666235	0.17946902064549122	0.025407184230713642	-0.2272727272727273	0.03754940711462451	0.4407114624505929	0.316205533596838	0.06620553359683795	-0.0899209486166008	-0.3181818181818182
Macrophage M1	0.1501203317346815	0.3634505341343906	0.22301950412936958	0.10902466367713004	-0.0739390896341569	0.041168170091936906	-0.02797279983378638	0.08695652173913042	0.477391304347826	-0.14956521739130432	-0.2434782608695652	-0.17565217391304347	0.10173913043478258	0.2721739130434782
Macrophage M2	0.2947006375302956	0.13056109200847987	0.42851953433572487	0.3864582952935771	0.2611020029252972	0.21013513643378964	0.34249715062205804	-0.10695652173913042	0.25652173913043474	0.15565217391304348	-0.06608695652173913	-0.029565217391304344	0.09217391304347824	0.1695652173913043
Myeloid dendritic cell resting	0.0854046351158779	-0.1823970599264982	0.37106277656941433	0.190540763519088	0.12686717167929198	0.12784519612990328	0.13990549763744098	-0.23157894736842105	0.25864661654135335	-0.06616541353383458	-0.3233082706766917	0.013533834586466165	0.312781954887218	-0.1639097744360902
Myeloid dendritic cell activated	0.10590489893884233	-0.1386637227965939	0.13728998567344128	0.14917296683804787	0.12038340599978913	0.07722697362300684	-0.00022947301831442764	0.2982456140350877	-0.07192982456140351	-0.2421052631578947	0.43684210526315786	0.2508771929824561	0.08771929824561404	-0.07368421052631578
Mast cell activated	0.14558204952941797	-0.05978363741521637	0.3773647405226353	0.36605236868394764	0.3170001051579999	0.23841421736158577	0.34017824280982173	-0.07058159232072277	-0.0220214568040655	-0.023150762281197064	-0.48729531338226995	-0.12817617165443254	-0.08413325804630155	0.409373235460192
Mast cell resting	0.29979946524064177	0.08990641711229946	-0.09525401069518717	0.40307486631016043	0.07118983957219252	0.09157754010695188	0.18482620320855617							
Eosinophil	0.044817927170868355	0.00028011204481792715	0.2408963585434174	0.16470588235294117	0.04901960784313727	0.057422969187675074	0.062464985994397766	0.1001031991744066	0.06501547987616099	-0.16615067079463364	0.2528379772961816	0.09391124871001032	0.06914344685242517	0.3168214654282766
Neutrophil	0.06759157826292839	0.1552395558728117	0.3030934829777159	0.27952166568898373	0.21993907739714894	0.30611699684078847	0.16895774289530782	-0.04347826086956521	0.18608695652173912	-0.2121739130434782	0.19826086956521738	0.007826086956521738	-0.15391304347826085	0.03739130434782608
